Slice,Count,Total Area,Average Size,%Area,Major,Minor,Angle
16.77 s,4,954,238.500,0.373,30.231,4.045,55.739
16.80 s,3,952,317.333,0.372,39.809,5.021,74.209
16.83 s,3,944,314.667,0.369,39.766,4.995,74.731
16.87 s,3,955,318.333,0.373,39.463,5.119,68.741
16.90 s,3,948,316.000,0.371,39.703,5.073,69.529
16.93 s,3,949,316.333,0.371,39.965,4.999,75.055
16.97 s,3,956,318.667,0.374,40.024,5.097,75.706
17.00 s,3,947,315.667,0.370,40.028,4.985,72.996
17.03 s,3,949,316.333,0.371,40.054,4.990,71.731
17.07 s,3,943,314.333,0.369,40.000,4.972,70.363
17.10 s,3,951,317.000,0.372,39.938,4.946,62.847
17.13 s,3,956,318.667,0.374,39.505,5.119,60.389
17.17 s,4,945,236.250,0.369,30.233,4.019,49.644
17.20 s,3,942,314.000,0.368,39.929,5.052,66.387
17.23 s,3,935,311.667,0.365,39.785,4.690,65.637
17.27 s,3,939,313.000,0.367,39.632,4.993,62.139
17.30 s,3,944,314.667,0.369,39.487,5.026,60.958
17.33 s,3,933,311.000,0.365,39.548,4.978,59.977
17.37 s,3,941,313.667,0.368,39.639,4.858,58.269
17.40 s,4,956,239.000,0.374,30.295,4.045,44.223
17.43 s,3,951,317.000,0.372,39.321,5.118,51.757
17.47 s,4,957,239.250,0.374,30.311,4.046,44.462
17.50 s,3,967,322.333,0.378,40.076,5.057,59.913
17.53 s,3,961,320.333,0.376,40.118,5.030,60.813
17.57 s,3,950,316.667,0.371,40.127,4.987,61.912
17.60 s,3,959,319.667,0.375,40.156,5.018,63.162
17.63 s,4,958,239.500,0.374,30.380,4.042,48.364
17.67 s,3,953,317.667,0.373,39.694,5.093,59.718
17.70 s,3,953,317.667,0.373,39.674,5.172,62.732
17.73 s,3,947,315.667,0.370,39.702,5.013,67.655
17.77 s,5,962,192.400,0.376,24.530,3.484,59.412
17.80 s,3,949,316.333,0.371,39.644,5.026,70.434
17.83 s,3,951,317.000,0.372,39.874,5.015,72.782
17.87 s,3,950,316.667,0.371,39.453,5.105,67.834
17.90 s,3,946,315.333,0.370,39.305,5.100,67.811
17.93 s,3,945,315.000,0.369,39.793,5.000,75.680
17.97 s,3,963,321.000,0.376,40.200,5.030,75.933
18.00 s,3,954,318.000,0.373,39.618,5.104,69.685
18.03 s,3,963,321.000,0.376,40.088,5.040,75.313
18.07 s,3,954,318.000,0.373,40.051,5.010,74.494
18.10 s,4,962,240.500,0.376,30.386,4.053,55.091
18.13 s,3,950,316.667,0.371,39.725,5.078,66.064
18.17 s,3,960,320.000,0.375,39.641,5.121,63.743
