 ,Area,XM,YM,Major,Minor,Angle
1683,937,159.419,134.267,110.322,10.814,111.464
1684,5,401.300,272.900,3.144,2.025,18.435
1685,11,762.955,277.227,6.327,2.214,93.058
1686,1,260.500,281.500,1.128,1.128,0.000
1687,937,157.792,133.299,110.641,10.783,114.191
1688,5,401.300,272.900,3.144,2.025,18.435
1689,10,763.000,277.500,5.642,2.257,90.000
1690,929,155.131,130.898,110.513,10.703,115.759
1691,5,401.300,272.900,3.144,2.025,18.435
1692,10,763.000,277.500,5.642,2.257,90.000
1693,941,151.754,127.318,110.490,10.844,116.223
1694,4,401.000,273.000,2.257,2.257,0.000
1695,10,763.000,277.500,5.642,2.257,90.000
1696,933,147.519,122.154,110.527,10.748,115.531
1697,4,401.000,273.000,2.257,2.257,0.000
1698,11,762.955,277.227,6.327,2.214,93.058
1699,933,143.213,115.714,110.425,10.758,113.672
1700,5,401.300,272.900,3.144,2.025,18.435
1701,11,762.955,277.227,6.327,2.214,93.058
1702,939,139.255,108.540,110.741,10.796,110.878
1703,5,401.300,272.900,3.144,2.025,18.435
1704,12,762.833,277.083,6.187,2.469,97.804
1705,931,135.661,100.542,110.614,10.716,107.495
1706,5,401.300,272.900,3.144,2.025,18.435
1707,11,762.955,277.227,6.327,2.214,93.058
1708,933,132.931,92.144,110.690,10.732,103.700
1709,5,401.300,272.900,3.144,2.025,18.435
1710,11,762.955,277.227,6.327,2.214,93.058
1711,927,131.029,83.293,110.529,10.679,99.597
1712,5,401.300,272.900,3.144,2.025,18.435
1713,11,762.955,277.227,6.327,2.214,93.058
1714,936,129.873,75.238,110.753,10.760,95.484
1715,4,401.500,272.750,2.734,1.863,0.000
1716,11,762.955,277.227,6.327,2.214,93.058
1717,942,129.558,67.674,110.616,10.843,91.166
1718,4,401.000,273.000,2.257,2.257,0.000
1719,10,763.000,277.500,5.642,2.257,90.000
1720,928,129.735,60.209,110.334,10.709,87.084
1721,5,401.300,272.900,3.144,2.025,18.435
1722,11,762.955,277.227,6.327,2.214,93.058
1723,1,260.500,282.500,1.128,1.128,0.000
1724,925,130.288,54.441,110.454,10.663,82.922
1725,5,401.300,272.900,3.144,2.025,18.435
1726,12,762.833,277.083,6.187,2.469,97.804
1727,922,130.772,50.192,110.501,10.624,78.755
1728,3,401.500,272.833,3.213,1.189,28.155
1729,10,763.000,277.500,5.642,2.257,90.000
1730,923,131.249,46.765,109.425,10.740,74.924
1731,5,401.300,272.900,3.144,2.025,18.435
1732,11,762.955,277.227,6.327,2.214,93.058
1733,928,130.933,45.500,108.990,10.841,71.381
1734,5,401.300,272.900,3.144,2.025,18.435
1735,11,762.955,277.227,6.327,2.214,93.058
1736,917,129.972,44.978,109.172,10.695,68.437
1737,5,401.300,272.900,3.144,2.025,18.435
1738,11,762.955,277.227,6.327,2.214,93.058
1739,927,128.279,45.494,110.083,10.722,66.371
1740,4,401.250,272.750,3.192,1.596,18.435
1741,10,763.000,277.500,5.642,2.257,90.000
1742,939,125.509,48.083,110.579,10.812,65.400
1743,5,401.300,272.900,3.144,2.025,18.435
1744,11,762.955,277.227,6.327,2.214,93.058
1745,1,260.500,282.500,1.128,1.128,0.000
1746,937,122.187,51.611,110.064,10.839,65.271
1747,4,401.000,273.000,2.257,2.257,0.000
1748,10,763.000,277.500,5.642,2.257,90.000
1749,940,118.480,56.556,110.643,10.817,66.355
1750,5,401.300,272.900,3.144,2.025,18.435
1751,11,762.955,277.227,6.327,2.214,93.058
1752,1,260.500,281.500,1.128,1.128,0.000
1753,951,114.544,62.871,110.756,10.933,68.247
1754,5,401.300,272.900,3.144,2.025,18.435
1755,11,762.955,277.227,6.327,2.214,93.058
1756,945,111.022,69.684,110.883,10.851,70.947
1757,5,401.300,272.900,3.144,2.025,18.435
1758,11,762.955,277.227,6.327,2.214,93.058
1759,934,107.846,77.653,110.911,10.722,74.243
1760,5,401.300,272.900,3.144,2.025,18.435
1761,11,762.955,277.227,6.327,2.214,93.058
1762,943,105.535,85.546,110.997,10.817,77.995
1763,5,401.300,272.900,3.144,2.025,18.435
1764,11,762.955,277.227,6.327,2.214,93.058
1765,941,103.827,93.860,110.919,10.802,81.962
1766,5,401.300,272.900,3.144,2.025,18.435
1767,11,762.955,277.227,6.327,2.214,93.058
1768,1,260.500,282.500,1.128,1.128,0.000
1769,938,103.023,102.431,110.499,10.808,86.096
1770,4,401.000,273.000,2.257,2.257,0.000
1771,11,762.955,277.227,6.327,2.214,93.058
1772,937,102.891,109.384,110.577,10.789,90.392
1773,4,401.000,273.000,2.257,2.257,0.000
1774,12,762.833,277.083,6.187,2.469,97.804
1775,932,103.355,115.059,110.319,10.757,94.531
1776,5,401.300,272.900,3.144,2.025,18.435
1777,10,763.000,277.500,5.642,2.257,90.000
1778,2,9.500,26.000,2.257,1.128,90.000
1779,944,104.030,120.678,110.477,10.880,98.623
1780,1,172.500,144.500,1.128,1.128,0.000
1781,5,401.300,272.900,3.144,2.025,18.435
1782,10,763.000,277.500,5.642,2.257,90.000
1783,934,104.550,124.537,110.145,10.797,102.868
1784,5,401.300,272.900,3.144,2.025,18.435
1785,10,763.000,277.500,5.642,2.257,90.000
1786,935,104.772,126.991,110.152,10.808,106.852
1787,5,401.300,272.900,3.144,2.025,18.435
1788,11,762.955,277.227,6.327,2.214,93.058
1789,935,104.298,127.718,109.776,10.845,110.444
1790,4,401.000,273.000,2.257,2.257,0.000
1791,11,762.955,277.227,6.327,2.214,93.058
1792,932,102.871,127.381,110.017,10.786,113.434
1793,4,401.000,273.000,2.257,2.257,0.000
1794,10,763.000,277.500,5.642,2.257,90.000
1795,929,100.496,125.376,109.907,10.762,115.548
1796,5,401.300,272.900,3.144,2.025,18.435
1797,11,762.955,277.227,6.327,2.214,93.058
1798,947,97.315,122.280,111.128,10.850,116.306
1799,5,401.300,272.900,3.144,2.025,18.435
1800,11,762.955,277.227,6.327,2.214,93.058
1801,939,93.240,117.594,110.272,10.842,115.998
1802,4,401.000,273.000,2.257,2.257,0.000
1803,11,762.955,277.227,6.327,2.214,93.058
1804,947,88.938,111.689,110.792,10.883,114.448
1805,5,401.300,272.900,3.144,2.025,18.435
1806,11,762.955,277.227,6.327,2.214,93.058
1807,938,84.740,104.660,110.681,10.790,111.988
1808,5,401.300,272.900,3.144,2.025,18.435
1809,11,762.955,277.227,6.327,2.214,93.058
1810,945,80.791,96.638,110.943,10.845,108.871
1811,5,401.300,272.900,3.144,2.025,18.435
1812,11,762.955,277.227,6.327,2.214,93.058
1813,1,260.500,282.500,1.128,1.128,0.000
1814,935,77.697,88.272,110.591,10.765,105.135
1815,4,401.000,273.000,2.257,2.257,0.000
1816,11,762.955,277.227,6.327,2.214,93.058
1817,946,75.267,79.318,111.024,10.849,101.228
